Trading Pair,Direction,Side,Order Type,Filled Quantity,Filled Amount,Trading Fee,Fee Currency,Avg Filled Price,Order Time,Trade ID
BTC-USDT-SWAP,Long,buy,Limit,0.10,9350.00,-4.68,USDT,93500.00,2026-04-08 09:05:00,OKX-MOCK-001
BTC-USDT-SWAP,Long,sell,Limit,0.10,9485.00,-4.74,USDT,94850.00,2026-04-08 11:35:00,OKX-MOCK-002
ETH-USDT-SWAP,Short,sell,Limit,3.00,9660.00,-4.83,USDT,3220.00,2026-04-09 13:20:00,OKX-MOCK-003
ETH-USDT-SWAP,Short,buy,Limit,3.00,9555.00,-4.78,USDT,3185.00,2026-04-09 17:45:00,OKX-MOCK-004
SOL-USDT-SWAP,Long,buy,Limit,40.00,7360.00,-3.68,USDT,184.00,2026-04-10 10:10:00,OKX-MOCK-005
SOL-USDT-SWAP,Long,sell,Limit,40.00,7580.00,-3.79,USDT,189.50,2026-04-10 14:30:00,OKX-MOCK-006
BTC-USDT,Long,buy,Limit,0.08,7600.00,-3.80,USDT,95000.00,2026-04-11 09:50:00,OKX-MOCK-007
BTC-USDT,Long,sell,Limit,0.08,7504.00,-3.75,USDT,93800.00,2026-04-11 15:35:00,OKX-MOCK-008
HYPE-USDT-SWAP,Long,buy,Limit,200.00,3500.00,-1.40,USDT,17.50,2026-04-14 11:25:00,OKX-MOCK-009
HYPE-USDT-SWAP,Long,sell,Limit,200.00,3360.00,-1.34,USDT,16.80,2026-04-14 16:50:00,OKX-MOCK-010
ETH-USDT,Long,buy,Limit,2.50,8225.00,-4.11,USDT,3290.00,2026-04-15 10:35:00,OKX-MOCK-011
ETH-USDT,Long,sell,Limit,2.50,8387.50,-4.19,USDT,3355.00,2026-04-15 17:15:00,OKX-MOCK-012
BTC-USDT-SWAP,Short,sell,Limit,0.12,11340.00,-5.67,USDT,94500.00,2026-04-16 09:20:00,OKX-MOCK-013
BTC-USDT-SWAP,Short,buy,Limit,0.12,11256.00,-5.63,USDT,93800.00,2026-04-16 13:55:00,OKX-MOCK-014
ARB-USDT-SWAP,Long,buy,Limit,8000.00,4960.00,-2.48,USDT,0.620,2026-04-17 10:05:00,OKX-MOCK-015
ARB-USDT-SWAP,Long,sell,Limit,8000.00,4760.00,-2.38,USDT,0.595,2026-04-17 14:30:00,OKX-MOCK-016
SOL-USDT,Long,buy,Limit,30.00,5880.00,-2.94,USDT,196.00,2026-04-18 09:35:00,OKX-MOCK-017
SOL-USDT,Long,sell,Limit,30.00,6060.00,-3.03,USDT,202.00,2026-04-18 18:20:00,OKX-MOCK-018
BTC-USDT-SWAP,Long,buy,Limit,0.10,9610.00,-4.81,USDT,96100.00,2026-04-21 10:30:00,OKX-MOCK-019
BTC-USDT-SWAP,Long,sell,Limit,0.10,9545.00,-4.77,USDT,95450.00,2026-04-21 11:00:00,OKX-MOCK-020
